Id,SalePrice
1461,13075.013672368514
1462,28565.48724974488
1463,16447.611410068173
1464,12994.603696161357
1465,8309.567266345111
1466,12599.947835926316
1467,11252.387545006553
1468,10625.744282150874
1469,13149.878132975165
1470,9876.175423484296
1471,9489.837836649938
1472,3465.5593893147015
1473,3549.6663759221556
1474,5200.381519668823
1475,3722.5016121375083
1476,18568.771127256652
1477,16972.586886914825
1478,16686.068580889347
1479,19005.942607095494
1480,23992.285384538554
1481,19432.947308333416
1482,10741.275857161148
1483,20711.188654247002
1484,6123.709867150901
1485,14307.042388277972
1486,11551.84538743316
1487,23368.414879483113
1488,13612.004433016205
1489,12047.2447810772
1490,14119.419110461313
1491,14660.10688150936
1492,11061.991509389656
1493,18502.224940050743
1494,18359.890039638092
1495,16283.094447253534
1496,8935.286276600702
1497,6892.688030419173
1498,5347.337683081918
1499,4610.708360816439
1500,4875.044604439929
1501,6798.414265210828
1502,4054.308295566996
1503,17106.603513926733
1504,11287.5091438097
1505,12093.457411081297
1506,15229.446483159962
1507,16063.122328434023
1508,22043.03665096534
1509,11918.773669665767
1510,12393.839506107965
1511,12352.248139104282
1512,13638.80775841861
1513,12838.40500674749
1514,17051.148357921775
1515,14471.559351092583
1516,19419.0835193322
1517,14936.458408933919
1518,12324.520561101846
1519,12913.269467354141
1520,10188.572802312061
1521,12895.708667952567
1522,13601.837654415343
1523,10122.026615106151
1524,12066.654085678922
1525,12286.626204498461
1526,14723.880310915003
1527,8954.695581202395
1528,10027.752849897748
1529,9981.54021989365
1530,13881.8861922402
1531,8190.33868093451
1532,5819.16863542379
1533,8970.407875403791
1534,8560.039720967354
1535,14475.256361492939
1536,10474.166855737421
1537,10504.667191540153
1538,12361.490665105113
1539,11997.335140672774
1540,12396.150137608201
1541,12585.15979432498
1542,8678.344053777837
1543,11556.466650433606
1544,5832.570298124978
1545,7183.827599445067
1546,7463.876137269952
1547,8867.815836794704
1548,8241.172573939024
1549,7700.484802890976
1550,8843.785269192565
1551,8125.6409989287495
1552,11811.560368056234
1553,14844.495275225723
1554,4884.287130440731
1555,18523.482749852614
1556,11814.333125856501
1557,12302.800624999916
